epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9377,1.63243,3.15789,2.0394,0.00167,0.5,0.00211,0.0016,1.86943,3.9582,2.38563,6.668e-05,6.668e-05,6.668e-05
2,16.8625,1.53215,3.10977,1.94877,0.00336,1,0.00903,0.00437,1.27204,3.56801,1.90545,0.000120324,0.000120324,0.000120324
3,21.0351,1.00964,2.9106,1.59913,0.00337,1,0.09176,0.03082,0.57475,3.30041,1.42983,0.000140962,0.000140962,0.000140962
4,25.5426,0.7663,2.78912,1.41904,0.00334,1,0.15929,0.05965,0.49162,3.28219,1.37083,0.000128592,0.000128592,0.000128592
5,30.1447,0.86144,2.82466,1.54005,0.00333,1,0.1007,0.05827,0.47909,3.28122,1.37243,8.32166e-05,8.32166e-05,8.32166e-05
